beta,load_comb,d,f_cck,chi1,chi2,rho,d_lower,a_to_d_ratio,weight
4.34880080607283,traffic,750,80,0.3,0,0.005,16,3,0.9295
4.52013300096437,traffic,750,80,0.4,0,0.005,16,3,1
4.68390033439575,traffic,750,80,0.5,0,0.005,16,3,0.7692
4.83285221656621,traffic,750,80,0.6,0,0.005,16,3,0.2564
4.95888516733273,traffic,750,80,0.7,0,0.005,16,3,0.0769
5.05522012774559,traffic,750,80,0.8,0,0.005,16,3,0
5.11919930768277,traffic,750,80,0.9,0,0.005,16,3,0
4.08491949245415,traffic,150,20,0.1,0,0.01,16,3,0
4.25510988504363,traffic,150,20,0.2,0,0.01,16,3,0.2564
4.42707651765065,traffic,150,20,0.3,0,0.01,16,3,0.9295
4.59663771127709,traffic,150,20,0.4,0,0.01,16,3,1
4.75859033193661,traffic,150,20,0.5,0,0.01,16,3,0.7692
4.90576081975215,traffic,150,20,0.6,0,0.01,16,3,0.2564
5.03013226234458,traffic,150,20,0.7,0,0.01,16,3,0.0769
5.12496969045163,traffic,150,20,0.8,0,0.01,16,3,0
5.18764564104001,traffic,150,20,0.9,0,0.01,16,3,0
4.02461672835598,traffic,300,20,0.1,0,0.01,16,3,0
4.19649810425592,traffic,300,20,0.2,0,0.01,16,3,0.2564
4.37027852096704,traffic,300,20,0.3,0,0.01,16,3,0.9295
4.54169107766818,traffic,300,20,0.4,0,0.01,16,3,1
4.7054412185942,traffic,300,20,0.5,0,0.01,16,3,0.7692
4.85423166350718,traffic,300,20,0.6,0,0.01,16,3,0.2564
4.97991779503996,traffic,300,20,0.7,0,0.01,16,3,0.0769
5.07568279789974,traffic,300,20,0.8,0,0.01,16,3,0
5.13893120042546,traffic,300,20,0.9,0,0.01,16,3,0
4.01205073841267,traffic,450,20,0.1,0,0.01,16,3,0
4.18398243601666,traffic,450,20,0.2,0,0.01,16,3,0.2564
4.35782851155254,traffic,450,20,0.3,0,0.01,16,3,0.9295
4.52933322299394,traffic,450,20,0.4,0,0.01,16,3,1
4.69320366716095,traffic,450,20,0.5,0,0.01,16,3,0.7692
4.84215207034229,traffic,450,20,0.6,0,0.01,16,3,0.2564
4.96804436159511,traffic,450,20,0.7,0,0.01,16,3,0.0769
5.06406821985709,traffic,450,20,0.8,0,0.01,16,3,0
5.12761680516642,traffic,450,20,0.9,0,0.01,16,3,0
4.00497834995913,traffic,600,20,0.1,0,0.01,16,3,0
4.17691668046329,traffic,600,20,0.2,0,0.01,16,3,0.2564
4.35077709183898,traffic,600,20,0.3,0,0.01,16,3,0.9295
4.52231255168222,traffic,600,20,0.4,0,0.01,16,3,1
4.68623247538962,traffic,600,20,0.5,0,0.01,16,3,0.7692
4.83525691740367,traffic,600,20,0.6,0,0.01,16,3,0.2564
4.96126032643547,traffic,600,20,0.7,0,0.01,16,3,0.0769
5.05743439974812,traffic,600,20,0.8,0,0.01,16,3,0
5.12116465682152,traffic,600,20,0.9,0,0.01,16,3,0
4.00041285544022,traffic,750,20,0.1,0,0.01,16,3,0
4.17234817015476,traffic,750,20,0.2,0,0.01,16,3,0.2564
4.34621021375127,traffic,750,20,0.3,0,0.01,16,3,0.9295
4.51775841116415,traffic,750,20,0.4,0,0.01,16,3,1
4.68170413659333,traffic,750,20,0.5,0,0.01,16,3,0.7692
4.83077332532784,traffic,750,20,0.6,0,0.01,16,3,0.2564
4.95684678561255,traffic,750,20,0.7,0,0.01,16,3,0.0769
5.05311930587416,traffic,750,20,0.8,0,0.01,16,3,0
5.11697106810128,traffic,750,20,0.9,0,0.01,16,3,0
4.08491949245415,traffic,150,40,0.1,0,0.01,16,3,0
4.25510988504363,traffic,150,40,0.2,0,0.01,16,3,0.2564
4.42707651765065,traffic,150,40,0.3,0,0.01,16,3,0.9295
4.59663771127709,traffic,150,40,0.4,0,0.01,16,3,1
4.75859033193661,traffic,150,40,0.5,0,0.01,16,3,0.7692
4.90576081975215,traffic,150,40,0.6,0,0.01,16,3,0.2564
5.03013226234458,traffic,150,40,0.7,0,0.01,16,3,0.0769
5.12496969045163,traffic,150,40,0.8,0,0.01,16,3,0
5.18764564104001,traffic,150,40,0.9,0,0.01,16,3,0
4.02461672835598,traffic,300,40,0.1,0,0.01,16,3,0
4.19649810425592,traffic,300,40,0.2,0,0.01,16,3,0.2564
4.37027852096704,traffic,300,40,0.3,0,0.01,16,3,0.9295
4.54169107766818,traffic,300,40,0.4,0,0.01,16,3,1
4.7054412185942,traffic,300,40,0.5,0,0.01,16,3,0.7692
4.85423166350718,traffic,300,40,0.6,0,0.01,16,3,0.2564
4.97991779503996,traffic,300,40,0.7,0,0.01,16,3,0.0769
5.07568279789974,traffic,300,40,0.8,0,0.01,16,3,0
5.13893120042546,traffic,300,40,0.9,0,0.01,16,3,0
4.01205073841267,traffic,450,40,0.1,0,0.01,16,3,0
4.18398243601666,traffic,450,40,0.2,0,0.01,16,3,0.2564
4.35782851155254,traffic,450,40,0.3,0,0.01,16,3,0.9295
4.52933322299394,traffic,450,40,0.4,0,0.01,16,3,1
4.69320366716095,traffic,450,40,0.5,0,0.01,16,3,0.7692
4.84215207034229,traffic,450,40,0.6,0,0.01,16,3,0.2564
4.96804436159511,traffic,450,40,0.7,0,0.01,16,3,0.0769
5.06406821985709,traffic,450,40,0.8,0,0.01,16,3,0
5.12761680516642,traffic,450,40,0.9,0,0.01,16,3,0
4.00497834995913,traffic,600,40,0.1,0,0.01,16,3,0
4.17691668046329,traffic,600,40,0.2,0,0.01,16,3,0.2564
4.35077709183898,traffic,600,40,0.3,0,0.01,16,3,0.9295
4.52231255168222,traffic,600,40,0.4,0,0.01,16,3,1
4.68623247538962,traffic,600,40,0.5,0,0.01,16,3,0.7692
4.83525691740367,traffic,600,40,0.6,0,0.01,16,3,0.2564
4.96126032643547,traffic,600,40,0.7,0,0.01,16,3,0.0769
5.05743439974812,traffic,600,40,0.8,0,0.01,16,3,0
5.12116465682152,traffic,600,40,0.9,0,0.01,16,3,0
4.00041285543939,traffic,750,40,0.1,0,0.01,16,3,0
4.17234817015476,traffic,750,40,0.2,0,0.01,16,3,0.2564
4.34621021375127,traffic,750,40,0.3,0,0.01,16,3,0.9295
4.51775841116415,traffic,750,40,0.4,0,0.01,16,3,1
4.68170413659333,traffic,750,40,0.5,0,0.01,16,3,0.7692
4.83077332532784,traffic,750,40,0.6,0,0.01,16,3,0.2564
4.95684678561255,traffic,750,40,0.7,0,0.01,16,3,0.0769
5.05311930587416,traffic,750,40,0.8,0,0.01,16,3,0
5.11697106810128,traffic,750,40,0.9,0,0.01,16,3,0
4.0849195045323,traffic,150,60,0.1,0,0.01,16,3,0
4.2551098946591,traffic,150,60,0.2,0,0.01,16,3,0.2564
4.42707652532536,traffic,150,60,0.3,0,0.01,16,3,0.9295
4.59663771755108,traffic,150,60,0.4,0,0.01,16,3,1
4.75859033736328,traffic,150,60,0.5,0,0.01,16,3,0.7692
4.90576082513695,traffic,150,60,0.6,0,0.01,16,3,0.2564
5.03013226955379,traffic,150,60,0.7,0,0.01,16,3,0.0769
5.12496970394785,traffic,150,60,0.8,0,0.01,16,3,0
5.18764567172681,traffic,150,60,0.9,0,0.01,16,3,0
4.02461672835598,traffic,300,60,0.1,0,0.01,16,3,0
4.19649810425592,traffic,300,60,0.2,0,0.01,16,3,0.2564
4.37027852096704,traffic,300,60,0.3,0,0.01,16,3,0.9295
4.54169107766818,traffic,300,60,0.4,0,0.01,16,3,1
4.7054412185942,traffic,300,60,0.5,0,0.01,16,3,0.7692
4.85423166350718,traffic,300,60,0.6,0,0.01,16,3,0.2564
4.97991779503996,traffic,300,60,0.7,0,0.01,16,3,0.0769
5.07568279789974,traffic,300,60,0.8,0,0.01,16,3,0
5.13893120042546,traffic,300,60,0.9,0,0.01,16,3,0
4.01205073841267,traffic,450,60,0.1,0,0.01,16,3,0
4.18398243601666,traffic,450,60,0.2,0,0.01,16,3,0.2564
4.35782851155254,traffic,450,60,0.3,0,0.01,16,3,0.9295
4.52933322299394,traffic,450,60,0.4,0,0.01,16,3,1
4.69320366716095,traffic,450,60,0.5,0,0.01,16,3,0.7692
4.84215207034229,traffic,450,60,0.6,0,0.01,16,3,0.2564
4.96804436159511,traffic,450,60,0.7,0,0.01,16,3,0.0769
5.06406821985709,traffic,450,60,0.8,0,0.01,16,3,0
5.12761680516642,traffic,450,60,0.9,0,0.01,16,3,0
4.00497834995913,traffic,600,60,0.1,0,0.01,16,3,0
4.17691668046329,traffic,600,60,0.2,0,0.01,16,3,0.2564
4.35077709183898,traffic,600,60,0.3,0,0.01,16,3,0.9295
4.52231255168222,traffic,600,60,0.4,0,0.01,16,3,1
4.68623247538962,traffic,600,60,0.5,0,0.01,16,3,0.7692
4.83525691740367,traffic,600,60,0.6,0,0.01,16,3,0.2564
4.96126032643547,traffic,600,60,0.7,0,0.01,16,3,0.0769
5.05743439974812,traffic,600,60,0.8,0,0.01,16,3,0
5.12116465682152,traffic,600,60,0.9,0,0.01,16,3,0
4.00041285544022,traffic,750,60,0.1,0,0.01,16,3,0
4.17234817015476,traffic,750,60,0.2,0,0.01,16,3,0.2564
4.34621021375127,traffic,750,60,0.3,0,0.01,16,3,0.9295
4.51775841116415,traffic,750,60,0.4,0,0.01,16,3,1
4.68170413659333,traffic,750,60,0.5,0,0.01,16,3,0.7692
4.83077332532784,traffic,750,60,0.6,0,0.01,16,3,0.2564
4.95684678561255,traffic,750,60,0.7,0,0.01,16,3,0.0769
5.05311930587416,traffic,750,60,0.8,0,0.01,16,3,0
5.11697106810128,traffic,750,60,0.9,0,0.01,16,3,0
4.08492471040463,traffic,150,80,0.1,0,0.01,16,3,0
4.25511426147697,traffic,150,80,0.2,0,0.01,16,3,0.2564
4.42708016078298,traffic,150,80,0.3,0,0.01,16,3,0.9295
4.59664078937274,traffic,150,80,0.4,0,0.01,16,3,1
4.7585930277926,traffic,150,80,0.5,0,0.01,16,3,0.7692
4.90576338494749,traffic,150,80,0.6,0,0.01,16,3,0.2564
5.03013508585698,traffic,150,80,0.7,0,0.01,16,3,0.0769
5.12497358738158,traffic,150,80,0.8,0,0.01,16,3,0
5.1876514735618,traffic,150,80,0.9,0,0.01,16,3,0
4.02461672839444,traffic,300,80,0.1,0,0.01,16,3,0
4.19649810428747,traffic,300,80,0.2,0,0.01,16,3,0.2564
4.37027852099439,traffic,300,80,0.3,0,0.01,16,3,0.9295
4.54169107768495,traffic,300,80,0.4,0,0.01,16,3,1
4.70544121861208,traffic,300,80,0.5,0,0.01,16,3,0.7692
4.85423166350718,traffic,300,80,0.6,0,0.01,16,3,0.2564
4.97991779510752,traffic,300,80,0.7,0,0.01,16,3,0.0769
5.07568279800908,traffic,300,80,0.8,0,0.01,16,3,0
5.13893120072751,traffic,300,80,0.9,0,0.01,16,3,0
4.01205073841267,traffic,450,80,0.1,0,0.01,16,3,0
4.18398243601666,traffic,450,80,0.2,0,0.01,16,3,0.2564
4.35782851155254,traffic,450,80,0.3,0,0.01,16,3,0.9295
4.52933322299394,traffic,450,80,0.4,0,0.01,16,3,1
4.69320366716095,traffic,450,80,0.5,0,0.01,16,3,0.7692
4.84215207034229,traffic,450,80,0.6,0,0.01,16,3,0.2564
4.96804436159511,traffic,450,80,0.7,0,0.01,16,3,0.0769
5.06406821985709,traffic,450,80,0.8,0,0.01,16,3,0
5.12761680516642,traffic,450,80,0.9,0,0.01,16,3,0
4.00497834995913,traffic,600,80,0.1,0,0.01,16,3,0
4.17691668046329,traffic,600,80,0.2,0,0.01,16,3,0.2564
4.35077709183898,traffic,600,80,0.3,0,0.01,16,3,0.9295
4.52231255168222,traffic,600,80,0.4,0,0.01,16,3,1
4.68623247538962,traffic,600,80,0.5,0,0.01,16,3,0.7692
4.83525691740367,traffic,600,80,0.6,0,0.01,16,3,0.2564
4.96126032643547,traffic,600,80,0.7,0,0.01,16,3,0.0769
5.05743439974812,traffic,600,80,0.8,0,0.01,16,3,0
5.12116465682152,traffic,600,80,0.9,0,0.01,16,3,0
4.00041285543939,traffic,750,80,0.1,0,0.01,16,3,0
4.17234817015476,traffic,750,80,0.2,0,0.01,16,3,0.2564
4.34621021375127,traffic,750,80,0.3,0,0.01,16,3,0.9295
4.51775841116415,traffic,750,80,0.4,0,0.01,16,3,1
4.68170413659333,traffic,750,80,0.5,0,0.01,16,3,0.7692
4.83077332532784,traffic,750,80,0.6,0,0.01,16,3,0.2564
4.95684678561255,traffic,750,80,0.7,0,0.01,16,3,0.0769
5.05311930587416,traffic,750,80,0.8,0,0.01,16,3,0
5.11697106810128,traffic,750,80,0.9,0,0.01,16,3,0
4.08491949245415,traffic,150,20,0.1,0,0.015,16,3,0
4.25510988504363,traffic,150,20,0.2,0,0.015,16,3,0.2564
4.42707651765065,traffic,150,20,0.3,0,0.015,16,3,0.9295
4.59663771127709,traffic,150,20,0.4,0,0.015,16,3,1
4.75859033193661,traffic,150,20,0.5,0,0.015,16,3,0.7692
4.90576081975215,traffic,150,20,0.6,0,0.015,16,3,0.2564
5.03013226234458,traffic,150,20,0.7,0,0.015,16,3,0.0769
5.12496969045163,traffic,150,20,0.8,0,0.015,16,3,0
5.18764564104001,traffic,150,20,0.9,0,0.015,16,3,0
4.02461672835598,traffic,300,20,0.1,0,0.015,16,3,0
4.19649810425592,traffic,300,20,0.2,0,0.015,16,3,0.2564
4.37027852096704,traffic,300,20,0.3,0,0.015,16,3,0.9295
