beta,load_comb,d,f_cck,chi1,chi2,rho,dg,L,c,weight
4.360458766239,wind_imposed,130,80,0.1,0.1,0.01,16,5000,250,0
4.43878118989235,wind_imposed,100,30,0.2,0.1,0.01,16,5000,250,0
4.55225326280019,wind_imposed,110,30,0.2,0.1,0.01,16,5000,250,0
4.63874344842366,wind_imposed,120,30,0.2,0.1,0.01,16,5000,250,0
4.7059256523966,wind_imposed,130,30,0.2,0.1,0.01,16,5000,250,0
4.30953585040436,wind_imposed,100,60,0.2,0.1,0.01,16,5000,250,0
4.41963914386758,wind_imposed,110,60,0.2,0.1,0.01,16,5000,250,0
4.50379236708134,wind_imposed,120,60,0.2,0.1,0.01,16,5000,250,0
4.56931079922299,wind_imposed,130,60,0.2,0.1,0.01,16,5000,250,0
4.3618630096632,wind_imposed,100,80,0.2,0.1,0.01,16,5000,250,0
4.47457715056004,wind_imposed,110,80,0.2,0.1,0.01,16,5000,250,0
4.56070761740841,wind_imposed,120,80,0.2,0.1,0.01,16,5000,250,0
4.62773502217575,wind_imposed,130,80,0.2,0.1,0.01,16,5000,250,0
4.82894158646306,wind_imposed,100,30,0.3,0.1,0.01,16,5000,250,0
4.95618147031703,wind_imposed,110,30,0.3,0.1,0.01,16,5000,250,0
5.05207130257183,wind_imposed,120,30,0.3,0.1,0.01,16,5000,250,0
5.1258295418443,wind_imposed,130,30,0.3,0.1,0.01,16,5000,250,0
4.70365670166721,wind_imposed,100,60,0.3,0.1,0.01,16,5000,250,0
4.82756014085697,wind_imposed,110,60,0.3,0.1,0.01,16,5000,250,0
4.92127767871189,wind_imposed,120,60,0.3,0.1,0.01,16,5000,250,0
4.99354130062909,wind_imposed,130,60,0.3,0.1,0.01,16,5000,250,0
4.75566026997995,wind_imposed,100,80,0.3,0.1,0.01,16,5000,250,0
4.88236008908399,wind_imposed,110,80,0.3,0.1,0.01,16,5000,250,0
4.97809999822401,wind_imposed,120,80,0.3,0.1,0.01,16,5000,250,0
5.05191504939654,wind_imposed,130,80,0.3,0.1,0.01,16,5000,250,0
4.66171118626835,wind_imposed,100,30,0.4,0.1,0.01,16,5000,250,0
4.69748234294063,wind_imposed,110,30,0.4,0.1,0.01,16,5000,250,0
4.72330188215009,wind_imposed,120,30,0.4,0.1,0.01,16,5000,250,0
4.74265828387795,wind_imposed,130,30,0.4,0.1,0.01,16,5000,250,0
4.57455489835084,wind_imposed,100,60,0.4,0.1,0.01,16,5000,250,0
4.61064568085828,wind_imposed,110,60,0.4,0.1,0.01,16,5000,250,0
4.63669386934391,wind_imposed,120,60,0.4,0.1,0.01,16,5000,250,0
4.65623052966276,wind_imposed,130,60,0.4,0.1,0.01,16,5000,250,0
4.60609803476363,wind_imposed,100,80,0.4,0.1,0.01,16,5000,250,0
4.64211060924162,wind_imposed,110,80,0.4,0.1,0.01,16,5000,250,0
4.66809935325056,wind_imposed,120,80,0.4,0.1,0.01,16,5000,250,0
4.68758218356811,wind_imposed,130,80,0.4,0.1,0.01,16,5000,250,0
4.48039536603736,wind_imposed,100,30,0.5,0.1,0.01,16,5000,250,0
4.50678258044839,wind_imposed,110,30,0.5,0.1,0.01,16,5000,250,0
4.52615078603006,wind_imposed,120,30,0.5,0.1,0.01,16,5000,250,0
4.54073721643026,wind_imposed,130,30,0.5,0.1,0.01,16,5000,250,0
4.40117478883912,wind_imposed,100,60,0.5,0.1,0.01,16,5000,250,0
4.42760185546135,wind_imposed,110,60,0.5,0.1,0.01,16,5000,250,0
4.44692813666268,wind_imposed,120,60,0.5,0.1,0.01,16,5000,250,0
4.46164868729065,wind_imposed,130,60,0.5,0.1,0.01,16,5000,250,0
4.42893094330535,wind_imposed,100,80,0.5,0.1,0.01,16,5000,250,0
4.45534787373258,wind_imposed,110,80,0.5,0.1,0.01,16,5000,250,0
4.4747176059837,wind_imposed,120,80,0.5,0.1,0.01,16,5000,250,0
4.48938997681416,wind_imposed,130,80,0.5,0.1,0.01,16,5000,250,0
4.32707533366367,wind_imposed,100,30,0.6,0.1,0.01,16,5000,250,0
4.34812068807586,wind_imposed,110,30,0.6,0.1,0.01,16,5000,250,0
4.36363186710484,wind_imposed,120,30,0.6,0.1,0.01,16,5000,250,0
4.3754636389187,wind_imposed,130,30,0.6,0.1,0.01,16,5000,250,0
4.25327113139645,wind_imposed,100,60,0.6,0.1,0.01,16,5000,250,0
4.27427702164574,wind_imposed,110,60,0.6,0.1,0.01,16,5000,250,0
4.28978081854325,wind_imposed,120,60,0.6,0.1,0.01,16,5000,250,0
4.30154307855012,wind_imposed,130,60,0.6,0.1,0.01,16,5000,250,0
4.27855737571879,wind_imposed,100,80,0.6,0.1,0.01,16,5000,250,0
4.29962727212846,wind_imposed,110,80,0.6,0.1,0.01,16,5000,250,0
4.31515652353062,wind_imposed,120,80,0.6,0.1,0.01,16,5000,250,0
4.32695619297505,wind_imposed,130,80,0.6,0.1,0.01,16,5000,250,0
4.19814209809852,wind_imposed,100,30,0.7,0.1,0.01,16,5000,250,0
4.21567479770753,wind_imposed,110,30,0.7,0.1,0.01,16,5000,250,0
4.22869303692002,wind_imposed,120,30,0.7,0.1,0.01,16,5000,250,0
4.2386150821872,wind_imposed,130,30,0.7,0.1,0.01,16,5000,250,0
4.12851858658163,wind_imposed,100,60,0.7,0.1,0.01,16,5000,250,0
4.14592975704315,wind_imposed,110,60,0.7,0.1,0.01,16,5000,250,0
4.15887513927467,wind_imposed,120,60,0.7,0.1,0.01,16,5000,250,0
4.16874056188747,wind_imposed,130,60,0.7,0.1,0.01,16,5000,250,0
4.15199571950677,wind_imposed,100,80,0.7,0.1,0.01,16,5000,250,0
4.16948383861834,wind_imposed,110,80,0.7,0.1,0.01,16,5000,250,0
4.18245249035564,wind_imposed,120,80,0.7,0.1,0.01,16,5000,250,0
4.19236392053465,wind_imposed,130,80,0.7,0.1,0.01,16,5000,250,0
4.08863365006434,wind_imposed,100,30,0.8,0.1,0.01,16,5000,250,0
4.10365095910688,wind_imposed,110,30,0.8,0.1,0.01,16,5000,250,0
4.11484709444438,wind_imposed,120,30,0.8,0.1,0.01,16,5000,250,0
4.12339354383019,wind_imposed,130,30,0.8,0.1,0.01,16,5000,250,0
4.02249891256418,wind_imposed,100,60,0.8,0.1,0.01,16,5000,250,0
4.0373720521061,wind_imposed,110,60,0.8,0.1,0.01,16,5000,250,0
4.04846126537576,wind_imposed,120,60,0.8,0.1,0.01,16,5000,250,0
4.05695850110019,wind_imposed,130,60,0.8,0.1,0.01,16,5000,250,0
4.04453627591349,wind_imposed,100,80,0.8,0.1,0.01,16,5000,250,0
4.05949099615047,wind_imposed,110,80,0.8,0.1,0.01,16,5000,250,0
4.07063247856681,wind_imposed,120,80,0.8,0.1,0.01,16,5000,250,0
4.07914959400727,wind_imposed,130,80,0.8,0.1,0.01,16,5000,250,0
3.9948713246055,wind_imposed,100,30,0.9,0.1,0.01,16,5000,250,0
4.00804115906228,wind_imposed,110,30,0.9,0.1,0.01,16,5000,250,0
4.01787175047862,wind_imposed,120,30,0.9,0.1,0.01,16,5000,250,0
4.02541393308036,wind_imposed,130,30,0.9,0.1,0.01,16,5000,250,0
3.93148833268362,wind_imposed,100,60,0.9,0.1,0.01,16,5000,250,0
3.9445035589163,wind_imposed,110,60,0.9,0.1,0.01,16,5000,250,0
3.95429561030467,wind_imposed,120,60,0.9,0.1,0.01,16,5000,250,0
3.9616890303888,wind_imposed,130,60,0.9,0.1,0.01,16,5000,250,0
3.95238728454124,wind_imposed,100,80,0.9,0.1,0.01,16,5000,250,0
3.96546829547901,wind_imposed,110,80,0.9,0.1,0.01,16,5000,250,0
3.97525196963722,wind_imposed,120,80,0.9,0.1,0.01,16,5000,250,0
3.98274445540284,wind_imposed,130,80,0.9,0.1,0.01,16,5000,250,0
4.65751868473044,wind_imposed,100,30,0.1,0.3,0.01,16,5000,250,0
4.76436661191926,wind_imposed,110,30,0.1,0.3,0.01,16,5000,250,0
4.84361785978078,wind_imposed,120,30,0.1,0.3,0.01,16,5000,250,0
4.90387032772315,wind_imposed,130,30,0.1,0.3,0.01,16,5000,250,0
4.53428573305588,wind_imposed,100,60,0.1,0.3,0.01,16,5000,250,0
4.63873247742468,wind_imposed,110,60,0.1,0.3,0.01,16,5000,250,0
4.71654934742124,wind_imposed,120,60,0.1,0.3,0.01,16,5000,250,0
4.77588605676504,wind_imposed,130,60,0.1,0.3,0.01,16,5000,250,0
4.58420872365802,wind_imposed,100,80,0.1,0.3,0.01,16,5000,250,0
4.69060630505083,wind_imposed,110,80,0.1,0.3,0.01,16,5000,250,0
4.76973948662259,wind_imposed,120,80,0.1,0.3,0.01,16,5000,250,0
4.82998234769093,wind_imposed,130,80,0.1,0.3,0.01,16,5000,250,0
4.84604244557468,wind_imposed,100,30,0.2,0.3,0.01,16,5000,250,0.2383
4.96084559218547,wind_imposed,110,30,0.2,0.3,0.01,16,5000,250,0.2383
5.04562424665632,wind_imposed,120,30,0.2,0.3,0.01,16,5000,250,0.2383
5.10979454613496,wind_imposed,130,30,0.2,0.3,0.01,16,5000,250,0.2383
4.7239797104801,wind_imposed,100,60,0.2,0.3,0.01,16,5000,250,0.2383
4.83631877258059,wind_imposed,110,60,0.2,0.3,0.01,16,5000,250,0.2383
4.91963211994024,wind_imposed,120,60,0.2,0.3,0.01,16,5000,250,0.2383
4.9829403359344,wind_imposed,130,60,0.2,0.3,0.01,16,5000,250,0.2383
4.77410415854859,wind_imposed,100,80,0.2,0.3,0.01,16,5000,250,0.2383
4.88855140158254,wind_imposed,110,80,0.2,0.3,0.01,16,5000,250,0.2383
4.97325168568321,wind_imposed,120,80,0.2,0.3,0.01,16,5000,250,0.2383
5.03751299513138,wind_imposed,130,80,0.2,0.3,0.01,16,5000,250,0.2383
5.16294643873347,wind_imposed,100,30,0.3,0.3,0.01,16,5000,250,0.8639
5.29054743635366,wind_imposed,110,30,0.3,0.3,0.01,16,5000,250,0.8639
5.38404904115997,wind_imposed,120,30,0.3,0.3,0.01,16,5000,250,0.8639
5.45440711236611,wind_imposed,130,30,0.3,0.3,0.01,16,5000,250,0.8639
5.04333154170942,wind_imposed,100,60,0.3,0.3,0.01,16,5000,250,0.8639
5.1683452645317,wind_imposed,110,60,0.3,0.3,0.01,16,5000,250,0.8639
5.26036710149835,wind_imposed,120,60,0.3,0.3,0.01,16,5000,250,0.8639
5.32987115172246,wind_imposed,130,60,0.3,0.3,0.01,16,5000,250,0.8639
5.09349503539525,wind_imposed,100,80,0.3,0.3,0.01,16,5000,250,0.8639
5.22084092397335,wind_imposed,110,80,0.3,0.3,0.01,16,5000,250,0.8639
5.31438705294832,wind_imposed,120,80,0.3,0.3,0.01,16,5000,250,0.8639
5.38491143970148,wind_imposed,130,80,0.3,0.3,0.01,16,5000,250,0.8639
4.96339492163972,wind_imposed,100,30,0.4,0.3,0.01,16,5000,250,0.9295
5.00175796807145,wind_imposed,110,30,0.4,0.3,0.01,16,5000,250,0.9295
5.02927200544289,wind_imposed,120,30,0.4,0.3,0.01,16,5000,250,0.9295
5.04982431995246,wind_imposed,130,30,0.4,0.3,0.01,16,5000,250,0.9295
4.87740127588332,wind_imposed,100,60,0.4,0.3,0.01,16,5000,250,0.9295
4.91616118748004,wind_imposed,110,60,0.4,0.3,0.01,16,5000,250,0.9295
4.94398092274012,wind_imposed,120,60,0.4,0.3,0.01,16,5000,250,0.9295
4.96469755242985,wind_imposed,130,60,0.4,0.3,0.01,16,5000,250,0.9295
4.90894935195488,wind_imposed,100,80,0.4,0.3,0.01,16,5000,250,0.9295
4.94759104422429,wind_imposed,110,80,0.4,0.3,0.01,16,5000,250,0.9295
4.97528542168204,wind_imposed,120,80,0.4,0.3,0.01,16,5000,250,0.9295
4.99596693952196,wind_imposed,130,80,0.4,0.3,0.01,16,5000,250,0.9295
4.71505896392453,wind_imposed,100,30,0.5,0.3,0.01,16,5000,250,0.715
4.74315126734486,wind_imposed,110,30,0.5,0.3,0.01,16,5000,250,0.715
4.76367021686977,wind_imposed,120,30,0.5,0.3,0.01,16,5000,250,0.715
4.77918601293995,wind_imposed,130,30,0.5,0.3,0.01,16,5000,250,0.715
4.63630020326389,wind_imposed,100,60,0.5,0.3,0.01,16,5000,250,0.715
4.66447852340464,wind_imposed,110,60,0.5,0.3,0.01,16,5000,250,0.715
4.68507484321661,wind_imposed,120,60,0.5,0.3,0.01,16,5000,250,0.715
4.70062639688594,wind_imposed,130,60,0.5,0.3,0.01,16,5000,250,0.715
4.66415356637474,wind_imposed,100,80,0.5,0.3,0.01,16,5000,250,0.715
4.6923658567382,wind_imposed,110,80,0.5,0.3,0.01,16,5000,250,0.715
4.71292401302609,wind_imposed,120,80,0.5,0.3,0.01,16,5000,250,0.715
4.72851807776427,wind_imposed,130,80,0.5,0.3,0.01,16,5000,250,0.715
4.50384702932883,wind_imposed,100,30,0.6,0.3,0.01,16,5000,250,0.2383
4.52612607109151,wind_imposed,110,30,0.6,0.3,0.01,16,5000,250,0.2383
4.54248977943735,wind_imposed,120,30,0.6,0.3,0.01,16,5000,250,0.2383
4.55493590758355,wind_imposed,130,30,0.6,0.3,0.01,16,5000,250,0.2383
4.43011381581681,wind_imposed,100,60,0.6,0.3,0.01,16,5000,250,0.2383
4.4523340094092,wind_imposed,110,60,0.6,0.3,0.01,16,5000,250,0.2383
4.46867784324809,wind_imposed,120,60,0.6,0.3,0.01,16,5000,250,0.2383
4.48111121096342,wind_imposed,130,60,0.6,0.3,0.01,16,5000,250,0.2383
4.45559315047888,wind_imposed,100,80,0.6,0.3,0.01,16,5000,250,0.2383
4.4778178648614,wind_imposed,110,80,0.6,0.3,0.01,16,5000,250,0.2383
4.49422437932148,wind_imposed,120,80,0.6,0.3,0.01,16,5000,250,0.2383
4.50668444806634,wind_imposed,130,80,0.6,0.3,0.01,16,5000,250,0.2383
4.32381150314232,wind_imposed,100,30,0.7,0.3,0.01,16,5000,250,0.0715
4.34221118746112,wind_imposed,110,30,0.7,0.3,0.01,16,5000,250,0.0715
4.35576695583495,wind_imposed,120,30,0.7,0.3,0.01,16,5000,250,0.0715
4.36612397228816,wind_imposed,130,30,0.7,0.3,0.01,16,5000,250,0.0715
4.25408006823484,wind_imposed,100,60,0.7,0.3,0.01,16,5000,250,0.0715
4.2723150866512,wind_imposed,110,60,0.7,0.3,0.01,16,5000,250,0.0715
4.28583502242305,wind_imposed,120,60,0.7,0.3,0.01,16,5000,250,0.0715
4.29616182140437,wind_imposed,130,60,0.7,0.3,0.01,16,5000,250,0.0715
4.27775110562133,wind_imposed,100,80,0.7,0.3,0.01,16,5000,250,0.0715
4.29602817139422,wind_imposed,110,80,0.7,0.3,0.01,16,5000,250,0.0715
4.30959268014556,wind_imposed,120,80,0.7,0.3,0.01,16,5000,250,0.0715
4.31993447437041,wind_imposed,130,80,0.7,0.3,0.01,16,5000,250,0.0715
4.16855520441169,wind_imposed,100,30,0.8,0.3,0.01,16,5000,250,0
4.1840824450492,wind_imposed,110,30,0.8,0.3,0.01,16,5000,250,0
4.1956405278345,wind_imposed,120,30,0.8,0.3,0.01,16,5000,250,0
4.20439203607664,wind_imposed,130,30,0.8,0.3,0.01,16,5000,250,0
4.1020034630423,wind_imposed,100,60,0.8,0.3,0.01,16,5000,250,0
4.11735868789735,wind_imposed,110,60,0.8,0.3,0.01,16,5000,250,0
4.12879723638343,wind_imposed,120,60,0.8,0.3,0.01,16,5000,250,0
4.13757766500241,wind_imposed,130,60,0.8,0.3,0.01,16,5000,250,0
4.1243347182636,wind_imposed,100,80,0.8,0.3,0.01,16,5000,250,0
4.13961999828458,wind_imposed,110,80,0.8,0.3,0.01,16,5000,250,0
4.15110842701291,wind_imposed,120,80,0.8,0.3,0.01,16,5000,250,0
4.15987542756541,wind_imposed,130,80,0.8,0.3,0.01,16,5000,250,0
4.03298545484238,wind_imposed,100,30,0.9,0.3,0.01,16,5000,250,0
4.04640295608783,wind_imposed,110,30,0.9,0.3,0.01,16,5000,250,0
4.05637660741008,wind_imposed,120,30,0.9,0.3,0.01,16,5000,250,0
4.06404960601485,wind_imposed,130,30,0.9,0.3,0.01,16,5000,250,0
3.96949713991519,wind_imposed,100,60,0.9,0.3,0.01,16,5000,250,0
3.98273964537933,wind_imposed,110,60,0.9,0.3,0.01,16,5000,250,0
3.99262908909804,wind_imposed,120,60,0.9,0.3,0.01,16,5000,250,0
4.00022177380355,wind_imposed,130,60,0.9,0.3,0.01,16,5000,250,0
3.990462843603,wind_imposed,100,80,0.9,0.3,0.01,16,5000,250,0
4.00378890449946,wind_imposed,110,80,0.9,0.3,0.01,16,5000,250,0
4.01371684785753,wind_imposed,120,80,0.9,0.3,0.01,16,5000,250,0
4.02134229358107,wind_imposed,130,80,0.9,0.3,0.01,16,5000,250,0
4.33944848734411,wind_imposed,100,30,0.1,0.5,0.01,16,5000,250,0
4.37483140280083,wind_imposed,110,30,0.1,0.5,0.01,16,5000,250,0
4.40109984764291,wind_imposed,120,30,0.1,0.5,0.01,16,5000,250,0
4.4211548629377,wind_imposed,130,30,0.1,0.5,0.01,16,5000,250,0
4.2495892264378,wind_imposed,100,60,0.1,0.5,0.01,16,5000,250,0
4.28429002945598,wind_imposed,110,60,0.1,0.5,0.01,16,5000,250,0
4.31008019108833,wind_imposed,120,60,0.1,0.5,0.01,16,5000,250,0
4.32980254652655,wind_imposed,130,60,0.1,0.5,0.01,16,5000,250,0
4.28166803356863,wind_imposed,100,80,0.1,0.5,0.01,16,5000,250,0
4.31672524202783,wind_imposed,110,80,0.1,0.5,0.01,16,5000,250,0
4.34277759777781,wind_imposed,120,80,0.1,0.5,0.01,16,5000,250,0
4.36269739706899,wind_imposed,130,80,0.1,0.5,0.01,16,5000,250,0
4.44539004905793,wind_imposed,100,30,0.2,0.5,0.01,16,5000,250,0.1972
4.48258512848266,wind_imposed,110,30,0.2,0.5,0.01,16,5000,250,0.1972
4.51004699358779,wind_imposed,120,30,0.2,0.5,0.01,16,5000,250,0.1972
4.53110880994455,wind_imposed,130,30,0.2,0.5,0.01,16,5000,250,0.1972
4.35533800728373,wind_imposed,100,60,0.2,0.5,0.01,16,5000,250,0.1972
4.39176359501455,wind_imposed,110,60,0.2,0.5,0.01,16,5000,250,0.1972
4.41879326948867,wind_imposed,120,60,0.2,0.5,0.01,16,5000,250,0.1972
4.43942032343185,wind_imposed,130,60,0.2,0.5,0.01,16,5000,250,0.1972
4.3877315192363,wind_imposed,100,80,0.2,0.5,0.01,16,5000,250,0.1972
4.42453587163795,wind_imposed,110,80,0.2,0.5,0.01,16,5000,250,0.1972
4.45183852313623,wind_imposed,120,80,0.2,0.5,0.01,16,5000,250,0.1972
4.47265905755358,wind_imposed,130,80,0.2,0.5,0.01,16,5000,250,0.1972
4.57389138743763,wind_imposed,100,30,0.3,0.5,0.01,16,5000,250,0.715
4.61324320421664,wind_imposed,110,30,0.3,0.5,0.01,16,5000,250,0.715
4.64239411877782,wind_imposed,120,30,0.3,0.5,0.01,16,5000,250,0.715
